реките реки
лошо лошо
транспорт транспортирање
ранни рано
трима тројка
манастира манастира
избрани избрана
извор извор
досега досега
средно просечен
полски полирање
американска американец
настоящ тековна
къща куќа
сила силата
убит убиени
името име
местата местата
изпълнение погубување
медицина медицина
номер број
главното главното
хаус хаус
еднакво еднакво
скоро наскоро
малки литл
разположени распореден
крайбрежие обала
балканска балканска
моста моста
епохата епохата
прави прави
омъжена омажена
етнографски етнографски
жена женка
виктор виктор
дадена дадена
жив жив
важно важна
народи нации
модификации модификации
квалификации квалификации
червен црвени
движение иницијативата
научните научните
жаба жаба
направени направени
медицински медицински
убиец убиец
свободна слободен
голямо голем
висока висока
сезон сезона
срещу против
намали намали
обща вкупно
риба риби
топ топ
класиране рангирање
дания данска
ман ман
достъп пристапот
платна платна
радванска радванска
последици последици
песните песните
основана основани
коморски коморски
вижте видете
фаза фаза
сиена сиена
вид врсти
дата дата
свързва поврзува
сили сили
изграждане градење
творбата творбата
листата листата
преди пред
задачи задачите
баба бабо
анонимен анонимен
източна источна
район област
изглед поглед
учи проучување
високи високо
камък камени
друг друг
чавдар чавдар
обща тотал
победи победуваат
библиотеката библиотеката
турските турските
гори изгореница
ни ни
месец месецот
успех успех
папуа папуа
ракета ракета
общност заедница
въоръжение вооружување
приета усвоена
черна црно
дадат дадат
северозападна северозападно
историци историчари
столична столична
средно среден
борбата борбата
древен древно
планинските планинските
чин брадата
използване употреба
златната златната
обявен прогласен
държава кантри
публикуван објавен
приета прифатен
година year
има има
изследвания истражувања
дончо дончо
сократ сократ
ян ян
турски турски
конфликти конфликти
американско американско
напада напада
китара гитара
рио рио
евентуално евентуално
тец тец
лазаров лазаров
българин българин
регионална регионална
бяло вајт
инвестиции инвестиции
съпруга жена
копенхаген копенхаген
делегат делегат
реално реално
българия бугарија
обратно обратно
жанрове жанрови
бяла бело
свойства својства
приск приск
къде каде
четвърти четврто
атина атина
велики велики
поддръжка подршка
опашката опашката
развитие развој
димов димов
заглавие заглавие
населени населени
евгени евгени
антоан антоан
турне тур
чета читај
способни способни
цезар цезаре
професии професии
влезе влезе
планински планинска
референдум референдум
пуерто пуерто
разработена разработена
реал реална
сингли сингли
туристи туристи
вер вер
сили овластувања
общи општ
реклама реклама
що що
кулата кулата
световното световното
сити град
балчик балчик
лично личното
всяко секоја
неговата негова
полага полага
никога никогаш
автобуси автобуси
стабилност стабилност
музей музей
хард хард
синве синве
масло масло
води водство
британските британските
днес денеска
ред црвено
военен воена
повърхността површината
градската градската
неговият негов
структура структура
сам сама
желев желев
земята земјата
техните нивното
онтарио онтарио
самолети летала
блок блокирај
тяхната нивно
пощенски поштенски
сравнение споредуваат
българската българската
обиколка обиколка
основан основана
камък карпа
използване користење
том tom
жени жените
николай николај
влашко влашко
град градско
последователно последователно
защита штити
определя комплети
рено рено
основни основни
киселина киселина
долината долина
главата главата
официална службен
томас thomas
герои знаци
колеж факултет
контрол контроли
светци светци
транспорт транспортер
о о
пълно полни
специална специјална
точка ставка
медицина лек
камък камен
бавария баварија
подложени подложени
формула формула
омъжена венчани
глава главата
клетки ќелии
отбори екипи
фифа фифа
висок хај
много многумина
константинопол цариградски
духовно духовно
стана стана
събрание собранието
понякога понекогаш
отвор отвор
купа пехар
гонзага гонзага
опити експерименти
помощник асистент
пр пр
поли поли
алекс алекс
шампион првак
хасково хасково
спорт sport
спечели освоено
тежко тешка
продукти производ
емигрира емигрира
форми облици
играе свирење
залива залив
черноморец черноморец
боен боен
арабски арапска
кралско кралско
коло коло
хенриета хенриета
профил профилот
отново пак
между между
същото исти
редовни редовен
фриц фриц
среща исполни
особеност особеност
дял поделба
факт факт
разкази раскази
изпратен испратена
обща вкупна
вдовица вдовица
въоръжени вооружена
убийството убийството
публикувано публикувано
посочен посочен
узбекистан узбекистан
допълнително дополнителни
редакции редакции
пазар маркет
преглед преглед
флота флота
кара кара
международни меѓународен
гражданство државјанство
ферара ферара
рядко ретки
седмицата седмицата
възстановяване враќање
преместена преместена
растителност растителност
важен важен
живота life
свободен слободно
мнение мислења
втората втората
морава морава
убити убиено
времена времена
посветен посветен
реките риверс
шведска шведска
позиции ставки
можете можете
поезия поетски
юнайтед јунајтед
един едната
дивизия дивизија
пада водопади
освободителната освободителната
имаш имаш
уелс велс
висок висока
мнение мислење
избиран избиран
чисто чист
ивица ивица
клон клон
битките битките
прогрес прогрес
норма норма
робството робството
см см
кани кани
православната православната
основни основна
официален службено
кметство кметство
художници артисти
известна позната
като като
барселона барселона
тази тази
определя поставува
шаблона шаблона
аполон аполон
предложение понудата
трета трет
рицари рицари
постига постигне
бунтовниците бунтовниците
продължава продолжува
служител служител
услуги служби
изпълнение егзекуција
никаква никаква
фен фен
но но
офицер полицаец
него го
димитър димитър
републики републики
предложение предлог
членство членство
студентски студентски
професионален професионална
панама панама
гърци грци
легендата легендата
стара стар
кула кулата
чикаго чикаго
основната основната
система систем
неговият неговиот
съпруг маж
ожени ожени
публикуван објавени
благодаря фала
цели мети
ученици студентите
ясно јасна
такава такви
статут статут
страната страната
дани дани
пълна комплетна
състезание конкуренција
важни важни
революционен револуционерна
роднина роднина
преподаватели учители
антантата антантата
стават стават
скулптура скулптура
интензивно интензивно
статистика статистиката
пк пк
победи победи
компонент компонент
всяко секој
брой грофот
цел нишани
мускул мускул
тяхното нивно
писма писма
публиката публиката
носа носа
значително значителни
писател писател
случаите случаите
ясно јасен
беседа беседа
идва следува
нужни нужни
ла ла
добри добри
начина начина
разбира разбира
българи бугари
конгрес конгрес
свети светец
индивидуално индивидуално
създаде создадени
оръжие пиштол
православни православни
груев груев
нерон нерон
шлем шлем
район реон
колата колата
подкрепа поддршка
бактерии бактерии
царица царица
отказва одбила
общ обичен
области домени
ангелов ангелов
фрагменти фрагменти
третата третата
старото старото
тона тон
своята своята
напълно сосема
победител добитник
следи следи
джордж џорџе
решението одлука
малцинство малцинство
шарл шарл
ана ана
специално специјални
смисъл значење
битката битка
родени раѓа
създаде креирано
дама дама
къщата куќа
продукти продукт
полета лет
един една
поддръжка одржувањето
термин мандат
търговия трговија
звуци звуци
започнало започнало
управител менаџер
станция станица
значително значајна
римска римјанин
науки науки
кипър кипар
филм филмска
парк park
сама сама
пространство просторот
разстояние оддалеченост
бряг брегот
обекти објекти
това ова
през през
трудно јако
едно една
преки преки
висок high
минава минува
млада млада
разновидности разновидности
глави глави
указ указ
музиканти музичари
поколение генерација
чета читам
пресвета пресвета
научно научно
полов полов
секунда секунда
августа августа
херцог дјук
блокиран блокиран
почетен почестена
британска британскиот
трето третиот
новгород новгород
изграждане изградбата
алабама алабама
зад зад
размери димензии
древен антички
традициите традициите
сто сто
стари стар
разкази приказни
виктория викторија
власт власт
икони икони
африкански африкански
основен основен
мартин мартин
моменти моменти
принцип принцип
трудно тешко
ар ар
работа работно
базиран базиран
ход ход
обща општо
гол автогол
кирибати кирибати
орган овластувања
дейвид дејвид
статия статија
бивши поранешно
вида вида
основано основани
република република
реж реж
умира умирањето
планина маунт
осветление осветление
отделни одвоени
неуспешен неуспешен
кореспондент кореспондент
последователно последователни
габрово габрово
външна надворешно
театър театар
царството царството
костов костов
киргизстан киргизстан
песни песни
лекува лекува
сестрата сестрата
дупки дупки
философ филозоф
балкански балкански
ри ри
око око
дял рез
земи земјиште
бира бира
първи прво
задача задачата
бон бон
ниски ниски
фридрих фредерик
станала станала
роля улога
кирил kiril
глава глава
родени родени
лос елк
движи движи
централните централните
основа основа
растителни растителни
босна босна
провинцията покраината
малки мали
нищо ништо
божества божества
писмото писмото
газ гас
превод превод
диска диска
страници страници
макар иако
път рута
наставка наставка
футбол фудбал
централата централата
черни црно
писмо писмо
хода хода
огромна огромна
общи општи
участници присутните
религиозни религиозно
запазени сочувани
удар удар
общ вкупна
когато кога
труд дело
носител превозник
официална формална
важи важи
биг биг
цялото цела
фотограф фотограф
леко леко
повърхност површина
кб кб
бил бил
лети лети
ку ку
стар стар
трупа трупа
живопис слика
птици птици
поток поток
певец пејачка
никой никој
носи носење
завива завива
португалски португалски
почетен почестен
струма струма
рядко реткост
майкъл михаел
повърхност површината
региона региона
значително значителен
ж ж
след откако
писателка писателка
чарли чарли
римски римско
алпи алпи
сайт сайт
махала маало
учител професорка
рок карпа
ясно исчисти
любов љубов
фази фази
как как
душата душата
гръцки грчка
съм съм
галерии галерии
командване команда
публикува објавила
информация информација
имам имам
началник шефот
различна различно
момента момента
враца враца
интерес камата
архитектурно архитектурно
решава решава
сложни сложни
граница ограничување
македонска македонец
динамо динамо
нашите нашите
черна черна
направен направен
малайзия малезија
риба фиш
препратки препратки
батак батак
във във
разделен разделен
изпълнение извршување
елит елит
сам сами
оставя лисја
върховния върховния
лицата лицата
запазени зачувана
армстронг армстронг
блокиране блокирање
влияние влијание
казва кажува
същото ист
черен црно
марта марта
основна главното
еди еди
изток источна
камъни карпи
местности местности
градина градина
барабани тапан
високо висока
дори дори
вапцаров вапцаров
характеристики карактеристики
изток источен
епизода епизода
омъжена оженет
честота честота
започва почнува
управление контролите
висока високиот
краков краков
средствата средствата
функция функција
анализ анализи
резултат резултат
драматични драматични
лацио лацио
терена терена
кения кенија
лудогорец лудогорец
прованс прованс
елементи елементи
омъжена женет
йосиф јосиф
волга волга
семейство фамилија
поезия поезијата
гран гран
династия династија
първоначално првичните
стопанство стопанство
катедрата катедрата
жозе жозе
художници уметници
есента падот
ограничени ограничени
достигне достигне
пано пано
пречи пречи
градчето градчето
въстание бунтови
малко мали
клиенти клиенти
коса коса
племена племиња
процент процент
още сепак
изкуството арт
роден родени
лидер водач
рид рид
подготовка подготовки
консул конзул
възраст старост
звук звук
същото исто
наши наше
крайбрежие брег
през преку
космос космос
кралство царство
младата младата
тези овие
коефициент коефициент
партизански герилски
млрд млрд
дълъг долги
четвърти четврти
родена роден
машината машината
някой некој
нещо нешто
открито отворено
титли наслови
кариерата каменолом
австро австро
баланс баланс
монастир монастир
еми еми
парламента парламентот
черна црна
интернет интернет
потребител потрошувачки
спечели добиена
един едно
нито ниту
свързано поврзан
толкин толкин
пиза пиза
кратер кратер
употреба користење
благодарение благодарение
лозенград лозенград
технологии технологија
човек човечко
кралство кралство
зрители гледачи
постановка постановка
чака чака
луната месечина
нов нова
забраната забраната
пролетта пролетни
юлий јулие
южен јужно
мкс мкс
бряг брег
тези тези
звезда ѕвезден
течението течението
египетски египетски
разпространение рашири
завод билка
средата средината
пакет пакет
реки реки
международен меѓународни
скалите скалите
принуден присилен
работите работите
главно најмногу
кг кг
главна главен
броя пребројување
английски английски
преподава предава
народната народната
войни војни
лук лук
представа представа
студио студио
военно военно
принц принц
район регион
понеделник понеделник
музиканти музиканти
подобни слична
риба риба
го го
три три
мусолини мусолини
социалистическа социјалист
криминален криминален
лукас лукас
огромен огромен
зелени зелени
ивици ивици
известни позната
позиции позиции
чин муцка
провинциите провинциите
рила рила
добрич добрич
играят свирење
открит откриена
мм мм
баща татко
науру науру
лин лин
емили емили
племето племето
загуба губиток
духа духа
драма драма
тонга тонга
делта делта
станало станало
дейност активности
споразумение аранжманот
организация организация
интерес интереси
оод оод
мирно мирно
листа листови
сериозно озбилно
велик велик
ръководство водич
процес процес
човека човека
модена модена
гори гори
титла титула
действия действия
силен силна
насочена насочена
общо вкупен
настоящ тековната
над над
богато богато
вили вили
мюсюлмани муслиманско
разположена сместена
двор дворот
облик облик
целта таргет
права права
старши високи
жители жителите
построен изградена
ляво левица
градските градските
територията територија
блокиране блокирај
личности особини
основни главното
крила крила
охрид охрид
население демографија
томе томе
трудно тежок
момент moment
буркина буркина
офицер офицер
предварително однапред
шоуто шоуто
флот флота
ама ама
новите новите
юлий џулиус
марки марки
зелена зелена
автомобили возила
пролетта пролетта
римски роман
наследниците наследниците
процедурата процедурата
затворени затворени
премиерата премиерата
открие открие
трон трон
играта игра
значително значителна
покрива покрива
мек мек
градът градот
литра литра
споразумение договор
портрет портрет
китара китара
дълги долго
множеството множеството
състезание натпревар
гай тип
питър петар
икономика економија
експедиции експедиции
живее живота
двама две
дипломати дипломати
среща рандеву
дете дете
белград белградски
долно долно
григор григор
максималната максималната
годишен годишна
решения решения
модели манекенки
носители превозници
косово косово
турска турскиот
производител производител
стопанска стопанска
приток прилив
средна средна
големина големина
комунистите комунистите
моцарт моцарт
вероятно најверојатно
с с
градски градски
мс мс
контекст контекст
важни важно
специалност специјалитет
въоръжена вооружени
такива вакви
заслуга заслуга
забрана забрана
между измеѓу
описание опис
започнал започнал
томов томов
продаден продаден
запад западно
участие вмешаност
особено особено
определени одлучна
основни башиќ
снимка фотографија
света ворлд
лице лице
творби творби
дел дел
изчезване исчезнување
текстове стихови
мн мн
валдек валдек
дял сечи
попов попов
полска полска
интервал интервал
андреа андреа
имат имат
сигнал сигнал
север север
мариана мариана
количество сума
скок скок
западна вестерн
зала сала
селце селце
проблем проблем
литературна литературна
известна познати
хабсбург хабсбург
мекленбург мекленбург
син сине
векове векове
свързано поврзани
катарина катарина
симон симон
мине мине
болид болид
мода мода
китайски кинески
видео video
учителка учителка
швейцария swiss
орбита орбита
планината планинска
пионер пионер
специално посебно
съюз унија
полета полиња
зеленчуци зеленчуци
технически техничко
съобщава съобщава
малки малки
франческо франческо
волфганг волфганг
връх монтирање
колко колко
турска турски
връзки поврзувања
стрела стрела
готова готова
между помегу
виден виден
знаме знаме
тях нив
и и
обща обичен
международно меѓународни
костурското костурското
било било
метода метода
богатството богатството
конго конго
ани ани
единствените единствените
важна важни
високо хај
играчи играчи
стенли стенли
дружество дружество
семена семена
влажни влажни
наши нашиве
отговор одговори
операция операцијата
конгреса конгреса
бивш поранешни
хаити хаити
арда арда
избор одбери
прираст прираст
чист чист
признае признае
скали камења
австрийски австриска
тежка тежок
поп поп
леонардо леонардо
реката ривер
водещ водител
ръка арм
света world
град град
играят играње
тренира тренира
късно касно
инспектор инспектор
вазов вазов
разновидност разновидност
тела тела
власти властите
база основа
трети трето
македонските македонските
николаев николаев
политическа политичко
школа школа
ван комбе
границата граница
творбите творбите
платформа платформа
частично делумен
ескадра ескадра
отказва одбиено
лопес лопес
медицината медицината
испански шпански
език јазикот
републиканска републиканска
първенство првенство
дупница дупница
сграда градење
битови битови
филипините филипините
анджелис анџелес
текст текст
милиона милиона
университет университет
епир епир
работи работно
есен есен
главен главна
първо први
чети чети
какво што
религиозна религиозна
йосиф џозеф
квалификациите квалификациите
ван комби
миг миг
празник прославата
административно административно
избори избори
идея идея
обекти предмети
луций луциус
наречен наречен
първенство шампионат
бедни бедни
шапка шапка
използване искористи
черно черно
британската британската
май мајски
археолог археолог
съдържа содржи
цар цар
м м
критики критики
сметка сметка
изисква бара
ръководство рачно
долни долни
храни храна
бързо бргу
равен равен
закон закон
три тројка
символ симбол
поети поети
продажбата продажбата
минава пропусници
направата направата
период period
места места
сао сао
преведени преведени
гробници гробници
следните следните
охрана охрана
техните нивна
ръцете раце
организми организми
портрети портрети
професионални професионална
огън пожар
служи служат
възможно можно
практики практики
ред црвени
столицата престолнина
сред меѓу
разположен лоцирана
следваща следни
команди команди
кот кот
цин цин
манастира манастир
осигурява обезбедува
жена сопруга
долара долара
парламент парламентот
клетка клетка
премине премине
съдове чинии
гори барнс
изпратен испрати
местен локално
продукции продукции
цел таргет
органи власти
тесен тесен
опити опити
лекар лекар
рап рап
питър питер
москва московски
железен железен
мини рудници
кратки кратки
високите високите
страна страна
колеж колеж
райони окрузи
височина височина
пакистан пакистан
вътрешна вътрешна
самолет авионски
цел цел
разположено лоцирано
значимост значење
думи зборови
всичко сѐ
ес ес
разпространение дистрибуција
епископ бискуп
значително значаен
специален посебна
секст секст
армията армија
управител гувернерот
ст ст
силна јаки
чувство чувство
оръжие оружје
остава остатоци
спас spas
силна силен
бор бор
сега сега
аз аз
конкретни конкретни
дипломат дипломат
понастоящем моментално
андре андре
сила моќност
вероятно веројатно
вокали вокали
дворец палас
едната едната
дейност дејност
септември септември
бележки бележки
определен определен
втора второ
книга книга
хил хил
того того
арабски арап
професионални професионално
дупка дупка
лос лос
езика јазик
началник началник
фестивал фестивал
творба творба
югоизточна југоисточен
българи българи
повечето најмногу
оу оу
виолета виолета
свързани поврзан
хилядолетие милениум
мерки мерки
останало останало
ма ма
свят ворлд
избира избира
умре умре
намалява намалува
плат плат
рамка рамка
валентин валентин
среди среди
убит убивани
местни локално
обиколка турнеја
граници ограничувања
избрани избрани
открит нашол
витамин витамин
директно директен
еберхард еберхард
хол хол
ракетата ракетата
децата децата
голямо големо
колегите колегите
автомобили коли
активен активен
киселини киселини
трева трева
феномен феномен
украински украински
нови нова
брус брус
пламен пламен
океан океан
атоми атоми
сергей сергей
брак брак
общо тотал
комунисти комунисти
ситуации ситуации
директно директно
рус рус
ужасите ужасите
кралството кралството
действия постапки
природа природата
конструкторите конструкторите
мвр мвр
нощта ноќ
катерина катерина
мрежата мрежата
вестници документи
първоначално почетно
нс нс
историк историчар
сараево сараево
земята земја
теодора теодора
гай гај
ударни ударни
яворов яворов
курт курт
западно вест
иначе иначе
сокол сокол
включват вклучи
баба баба
станат станат
изкуства уметности
пресата пресата
шести шести
води олово
посочените посочените
паланка паланка
служители служители
споменато споменато
битката борба
богата богата
тогава тогаш
час час
носителите носителите
история история
методите методите
употреба употреба
военни воена
поет поет
рицарски рицарски
ботев ботев
порто порто
коментар коментар
графика графика
турнирите турнирите
която кои
костадинов костадинов
играят свири
онлайн онлајн
прага прага
форт форт
херцог кнез
хора луѓе
почетен почетен
четата четата
константинопол цариград
интерес интерес
саксонска саксонска
кораб медиум
игрите игрите
психоанализа психоанализа
установено установено
творци творци
горна горен
загуби изгубено
рмс рмс
карти maps
александър александер
градове градови
могли могли
митрополити митрополити
обществени public
слалом слалом
литературата литературата
пациенти пациенти
предмет предмет
изгради изгради
мпс мпс
повечето повечето
древен древен
мнението мнението
границите границите
ирина ирина
останат останат
литература литература
ляв лева
музикална музички
срещи дати
съдържание содржина
движение движение
убити убиен
средна среден
триумф триумф
любомир љубомир
сирия сирија
светлина светол
загинал загинал
североизток северозапад
зенит зенит
легат легат
нестор нестор
казал казал
сила сила
столица столица
сфорца сфорца
революция револуција
спорт спорт
канали канали
редовни регуларен
ефективно ефективно
женски женска
обувки обувки
наем изнајмување
нов нов
женски женка
промени смени
балкан балкан
мексико мексико
изградена изграден
свободно слободни
нали нали
тайланд тајланд
ритуали ритуали
включени вклучено
самолети авиони
алис алис
океан оушн
разделени разделени
самолети авионски
успение успение
хенри анри
митология митологија
институции институции
аспект аспект
бомба бомба
борис boris
подготовка припрема
ръцете рацете
аржентина аргентинскиот
елемент елемент
скоро скоро
пелопонес пелопонес
деление дивизија
ахмед ахмед
климент климент
норвегия норвешка
изкуство изкуство
съоръжения капацитети
силно тешко
учат учат
бавно бавно
основана основана
петер петер
световно глобални
средно просечни
шишман шишман
мач совпаѓање
ред редица
прозорец прозорец
баден баден
стоки стоки
починали починати
доминика доминика
идея замисла
агиос агиос
гори изгореници
останал останал
сборник сборник
оскар оскар
изложба изложба
оригиналната оригиналната
марка марка
индиана индиана
историци историчарите
луи луј
останки остатоци
църква црква
герои карактери
август август
германска германска
господ господ
братислава братислава
официален формално
забележителни забележителни
май мај
ноември ноември
член статија
василева василева
диви диви
сигизмунд сигизмунд
революционен револуционер
предложи предложи
архитектурни архитектурни
филми кино
международен international
други macedonian
младен младен
прадеш прадеш
местните местните
регистрирани регистрирани
албански албански
размерите размерите
използвана искористена
обратно назад
български бугарски
бяха биле
конкурс натпреварување
александър александар
културен културен
романи романи
корпус корпус
самуил самуил
тяхното нивна
изложени изложени
форд форд
литературни литературни
свободно слободно
на на
периодични периодични
сдс сдс
проекта проект
адмирал адмирал
код шифра
актьор актер
победи победа
помощник помошник
нова нови
червен црвено
млад млади
вморо imaro
май май
оклахома оклахома
последен последна
дърво дрва
растение растение
размери големина
запад запад
общ вкупно
васил васил
тери тери
която кое
децата деца
консултант консултант
комплекс комплекс
нос нос
станислав станислав
приятели пријатели
мирен мирен
параметрите параметрите
управление управување
степен степен
поведение поведение
подготовката подготовката
конкретен конкретен
пазарджик одеса
чили chilli
мурад мурад
уилям вилијам
изграждане изгради
създадена создадено
четири four
преминава минува
тона тона
гол цел
последната последната
двете двете
нощта нок
уеб web
графство округот
храм темпл
иврит иврит
сан san
душа душа
долната долната
титан титан
западни западни
приет усвоени
тома томо
елементите елементите
инфраструктура инфраструктура
избран одбрани
голяма големи
политик политичар
медали медали
посетители посетители
европейска европски
регистрира регистрира
води води
хилендарски хилендарски
като како
политици политичар
редовни редовни
приложение примена
христова христова
мо мо
излъчване емитување
изкуства уметност
цигани цигани
особен особен
сръбски србин
става става
вероятно највероватно
лондон лондонски
публикува објави
публикуван објавено
каза рече
мануел мануел
такси такси
театри театри
со со
сейнт сеинт
постави постави
майкъл михаил
демир демир
класиране пласман
съчинения съчинения
хановер хановер
борба борење
практикува практикува
обществени јавни
медал медал
маркс маркс
постигне постигне
наместник наместник
принос придонес
музикален музичко
девети девети
съдия судијата
спаси спаси
покритие покритие
том том
калифорния калифорнија
широка широки
удобно удобно
минерали минерали
жан џин
страда страда
такова таквите
стопанство држење
официален формален
власи власи
животински животински
назначен доделена
средни средни
катар катар
паметници споменици
селища села
тип тип
пространство пространство
мар мар
канадската канадската
жената жената
зет зет
второ втор
дефинира дефинира
полу полу
царе царе
стопанство фармата
пиесата пиесата
морски поморска
малки мала
съвременни современи
вардар вардар
махала соседство
храм светилиште
археологически археолошко
полето полето
плод плод
позната позната
национални национална
щ щ
съ съ
стихотворения стихотворения
пише пише
методий методий
адамс адамс
агенция агенција
композитори композитори
създаване креација
роуз роуз
запазени сочувана
работниците работниците
облаци облаци
долното долното
управител гувернер
чичо вујко
роман новела
мощност моќност
високи високиот
торонто торонто
звезда ѕвездички
маса масовни
няколко малкумина
свързана поврзани
пб пб
разделена разделена
нации нации
силите силите
предложена предложена
оставя листови
сава сава
критично критично
шумен шумен
двигател моторни
липса недостатокот
уязвим ранлив
неговият неговите
ден ден
църкви цркви
приет усвои
много много
второ втори
запазена запазена
мериленд мериленд
ефект ефект
качеството квалитет
алфонсо алфонсо
смъртта смртта
димитров димитров
потоци потоци
архиепископия архиепископия
организирани организирани
опит опит
парични парични
вмс вмс
македонски македонска
души души
малки мал
войска војници
андрей андреј
последна последна
латински латино
подава подава
потока потока
редовни регуларно
широко широки
източна источен
видеото видеото
народи народи
сериозно сериозен
морски морски
сингъл сингл
международна интернационална
сфера сфера
образуван образуван
бандата бандата
походи походи
вашингтон вашингтон
редактори уредници
дело кејс
погребан погребан
личните личните
жена жена
полша полска
пространството пространството
делтата делтата
източно источни
октомври октомври
ос ос
особено поготово
велес велес
области области
двигател мотор
брачен брачен
страни партии
голяма голема
теми поданици
мария марија
илюстрация илюстрация
тенис тениско
друго macedonian
полета полета
николо николо
тото тото
женен омажена
тези тие
покаже покаже
портал премин
избрана одбрани
всичко сè
часа часа
чета чета
палма палма
маргарета маргарета
франк франк
планини планини
младите младите
трети третиот
водна водна
месо месо
убити убиена
колона колона
научната научната
липса недостиг
участие учествува
танц танц
западна западни
треска треска
верона верона
порта порта
култури културите
четник четник
нас нас
главен главен
двадесет двадесет
червено црвена
албумите албумите
валута валута
починали починат
средно просек
бежанско бежанско
сръбски српска
земи земи
професионален professional
източен источна
обучение обука
поддръжка поддршка
шампионската шампионската
герои јунаци
лагер логор
солунски солунски
специални посебна
семейство семејство
стоянов стоянов
я я
негово негово
рицарите рицарите
ре ре
герой герой
ходи ходи
траките траките
сгради згради
балет балет
финал final
югоизточна југоисточно
страна држава
дисциплината дисциплината
марк обележи
дунав дунав
източно источен
имало имало
полк полк
услугите услугите
одрин одрин
ким ким
шампионка шампионка
опасни опасни
едва едвај
ела ела
тома томас
община општина
едно едната
състезания тркање
търси барај
методий методиј
фирмата фирмата
способност способност
населени населено
космически космичка
лена лена
британското британското
никола никола
преместено преместено
изключително ексклузивна
чешма чешма
лас лас
погребана погребана
документи трудови
познат познат
маринов маринов
включени вклучени
професионални професионални
политически политичко
убит убиена
книгите книгите
клетки клетки
дължина должина
неговите неговите
турне тура
георгий георгий
латински латински
свобода слободата
унсс унсс
просто просто
главен главното
известни познат
медалист медалист
трае трае
използван искористена
великото великото
отношение став
изследвания тестовите
статистиката статистиката
бог богот
молдова молдавија
народна народна
павлович павлович
средата средата
шаблони обрасци
владетел владетел
вали вали
учебни учебни
чета читање
населените населените
вниманието вниманието
лежи лежи
физика физика
подход подход
кого кого
словения словенија
ръководители ръководители
кралското кралското
специален специјална
болницата болницата
архимандрит архимандрит
новели новели
рано рано
год год
икономически економска
скоро набрзо
сребро сребро
стени стени
според според
пост објава
темата темата
холивуд холивуд
андартски андартски
матиас матиас
срещи запознавање
трибун трибун
слабо слаби
одеса одеса
магнус магнус
габон габон
партия партиски
топлина топлина
планинска планинска
личен приватно
радиото радиото
семейства фамилии
живот живот
маса масовен
брега брегот
широко широк
следваща следниот
фигура фигура
народи нациите
преподаватели наставниците
бразилия бразил
посланик посланик
основател основач
скорост брзина
картинка слика
лице соочи
младост младост
продуцент продуцент
гласуване гласај
страница страница
достатъчно доста
аржентина аргентина
около наоколу
шум шум
самата самата
слаб слаб
чичо чичо
силно силно
формата форма
чин брада
равенство равенство
управител управител
шеф шеф
преименувано преименувано
вестник вестник
бит бит
съвет совет
датира датира
изтриване избриши
изключително исклучително
инженери инженери
сериозен сериозен
отворени отворени
пиано пијано
трона престол
литературната литературната
червено црвено
водещ домаќин
срещу наспроти
подкрепа поддржување
решението решението
търговски комерцијална
плочи плочи
торино торино
въстанието въстанието
двора двора
допълнителни екстра
промяна измени
дадени дадени
даскалов даскалов
въоръжени вооружен
разбива разбива
север северот
съюз алијанса
сергей сергеј
такава таков
германия germany
справедливост справедливост
ело ело
почвата почвата
модерните модерните
мур мур
следваща следно
местност местност
тибет тибет
дка дка
цифри цифри
легендите легендите
снимката снимката
вулкан вулкан
син синко
мориц мориц
насочени насочени
валтер валтер
едновременно симултано
кен кен
битки тепачки
паскал паскал
изчезване изумирање
губи губење
територии територии
скопие скопие
организиран организиран
школа училиште
британски британскиот
седмица недела
спарта спарта
ак ак
фелдмаршал фелдмаршал
надолу надолу
италия италија
машини машини
реал вистински
кратко кратки
полски полска
използвани користена
арабски арапски
политиката политика
обект субјект
соломонови соломонови
съд медиум
остава остава
средно просечно
парни парни
думите зборови
построена изграден
моли моли
услуги сервис
което која
оръжия пушки
освободен ослободено
освободен пуштен
пари пари
музиката музиката
студентите студентите
селската селската
литература книжевност
женен венчани
дивата дивата
мили мили
реките реките
южен југ
колони колони
сенатор сенатор
бежанци бежанци
писта писта
търси барајте
слово слово
притежава поседува
кожа кожа
клетва клетва
дипломира дипломира
курса курса
широката широката
централна централна
западен западен
цветни цветни
разнообразие разнообразие
попово попово
планината планина
граждани граждани
свобода либерти
осъден осуден
млади јанг
силно јака
тесни тесни
съдове јадења
приета усвоени
съпругата сопруга
история историја
пише пишува
димитър димитар
международен интернационална
пета пета
разположен сместена
или или
вера вера
високото високото
контакт контакт
рикардо рикардо
ин ин
продадени продадени
приятел пријател
описва опишувајќи
монасите монасите
продължение наставка
известна познатата
монако монако
тяхната нивните
а а
иска сака
салоника салоника
робърт робер
народните народните
жена жената
определя одредува
ханау ханау
гражданска граѓанско
групата групата
лечение третман
дейности активности
колектив колектив
кораб медиумот
василев василев
система система
писател писателка
хрушчов хрушчов
актриса актерка
никакво никакво
около околу
изчезване исчезнат
кантон кантон
ниви ниви
инструкции инструкции
бразилски бразилски
преминава помине
известни познатата
южна јужен
актьори глумци
семейства семејства
редактор редактор
соло соло
британска британски
представен представен
включително вклучувајќи
екатерина екатерина
пиано пиано
учи студијата
относно за
международни меѓународни
начини начини
кандидати кандидати
земя земјата
автори авторите
валери валери
родригес родригес
библиография библиографија
следи траки
